ADG5209,U,,
Pin,Type,Name,Side
1,input,A0,left
2,input,EN,left
3,power_in,VSS,left
4,bidirectional,S1A,left
5,bidirectional,S2A,left
6,bidirectional,S3A,left
7,bidirectional,S4A,left
8,bidirectional,DA,left
9,bidirectional,DB,right
10,bidirectional,S4B,right
11,bidirectional,S3B,right
12,bidirectional,S2B,right
13,bidirectional,S1B,right
14,power_in,VDD,right
15,power_in,GND,right
16,input,A1,right
